timestamp, orientation_x, orientation_y, joystick_action, joystick_state, ball_x, ball_y, ball_z
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000955319, 1.5, -0.000997724
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.000991547, 1.5, -0.00103438
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.00102776, 1.5, -0.00107103
"Fri Sep 15 23:00:30 2023
", 0, 0, null, null, 0.00106395, 1.5, -0.00110761
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00110013, 1.5, -0.00114418
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00113626, 1.5, -0.00118075
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00117236, 1.5, -0.00121729
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00120846, 1.5, -0.00125385
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00124456, 1.5, -0.00129042
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00128064, 1.5, -0.00132694
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00131674, 1.5, -0.00136344
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00135283, 1.5, -0.0014
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00138889, 1.5, -0.0014366
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00142494, 1.5, -0.00147325
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00146102, 1.5, -0.0015099
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00149711, 1.5, -0.00154651
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00153321, 1.5, -0.00158311
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00156932, 1.5, -0.0016197
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00160545, 1.5, -0.00165627
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00164158, 1.5, -0.00169284
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00167775, 1.5, -0.00172937
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00171397, 1.5, -0.00176581
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00175016, 1.5, -0.00180222
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00178638, 1.5, -0.00183862
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00182264, 1.5, -0.00187496
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00185889, 1.5, -0.00191131
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00189513, 1.5, -0.00194762
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00193139, 1.5, -0.00198392
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00196764, 1.5, -0.00202018
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00200389, 1.5, -0.00205644
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00204015, 1.5, -0.0020927
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00207639, 1.5, -0.00212896
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00211263, 1.5, -0.00216519
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00214886, 1.5, -0.00220145
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.0021851, 1.5, -0.00223774
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00222135, 1.5, -0.002274
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.0022576, 1.5, -0.00231032
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00229383, 1.5, -0.00234669
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00233, 1.5, -0.00238315
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00236615, 1.5, -0.00241965
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00240229, 1.5, -0.00245615
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00243847, 1.5, -0.0024926
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00247466, 1.5, -0.00252902
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00251087, 1.5, -0.00256545
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.0025471, 1.5, -0.00260187
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00258336, 1.5, -0.00263828
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00261967, 1.5, -0.0026747
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.002656, 1.5, -0.0027111
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.0026923, 1.5, -0.00274752
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.0027286, 1.5, -0.00278393
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00276489, 1.5, -0.00282029
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00280119, 1.5, -0.00285662
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00283747, 1.5, -0.00289291
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00287375, 1.5, -0.00292917
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00291004, 1.5, -0.00296534
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00294629, 1.5, -0.00300151
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00298255, 1.5, -0.00303766
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.0030188, 1.5, -0.00307375
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00305504, 1.5, -0.00310981
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:31 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
